name,price,status,shipping,free_returns,items_sold
Luzianne Decaffeinated Iced Tea,1195,Brand New,3,False,
"Lipton Iced Tea, Gallon Size Tea Bags (48 ct.) Free And Fast Shipping",1721,Brand New,300,False,51
Crystal Light PEACH Iced Tea Drink mix - 2 quart Pitcher Packs - makes 32 qts,1395,Brand New,3,True,1397
Oneida Stainless DISTINCTION / FIRESIDE  Iced Tea Spoons - Set of  TWELVE * USA,1499,Pre-Owned,3,True,
Nestea Tea Instant Unsweetened Mix Powder Iced Drink Nestle 200g Nosugar 10X200g,14400,Brand New,0,False,
Shop on eBay,2000,Brand New,,False,
Pineapple Mint Tea Blend Loose Leaf 2oz w/ FREE Infuser (Hot or Iced),1800,Brand New,0,False,
HEB Half & Half Iced Tea And Lemonade 12 K Cups Brewing Arnold Palmer (2pack),2999,Brand New,3,False,
"Dole Soft Serve Mix, Strawberry, 4.5 Pound",3379,Brand New,0,False,
Peach Ice Cream Herbal Loose Leaf Tea,594,Brand New,499,False,
New Listing2 Boxes- SPORTea Iced Tea 7 Qt Size Bags Best By: 11/19/2025,2295,Brand New,3,False,
4C Light Green Tea Antioxidant Iced Tea Mix 13.9 Oz Canister,1047,Brand New,0,True,
"Pure Leaf Iced Real Brewed Black Tea, Extra Sweet, 18.5 Fl Oz (Pack of 12)",3681,Brand New,3,True,
"Organic Moringa Tea, Watermelon",699,Brand New,0,False,
LUZIANNE Iced HIBISCUS Family Size Tea Bags (2 Boxes of 22 Bags= 44 Bags) SEALED,1699,Brand New,3,True,
"Green Tea Organic - choose flavor, loose leaf or tea bags Premium Green Teas",700,Brand New,0,False,
Lipton Tea Black Tea 24.9 Oz 312 TEA BAGS,1731,Brand New,300,False,
Luzianne Iced Tea,995,Brand New,3,False,
Bigelow Botanicals Cold Water Infusion Tea Watermelon Cucumber mint Exp. 04/2024,895,Brand New,3,True,
Crystal Light Raspberry Iced Tea Drink 72 Pitcher Packet 1.4 Ounce 6 Pack of 12 ,4598,Brand New,3,False,
"4C Lemon Iced Tea Mix, 66.1 oz, 1 Ct",1510,Brand New,3,False,
Tea Sweet Mango & Apricot Fruity Tropical Hot Iced Loose Leaf Aged Black Tea CB,447,Brand New,3,True,
Jasmine Green Tea Premium loose leaf tea bags or ice tea bags wonderful jasmine,850,Brand New,0,False,
"4C Iced Tea Mix Variety Pack Sugar-Free Green Red Tea Lemonade, 44 Packets",1588,Brand New,3,True,
