name,price,status,shipping,free_returns,items_sold
New ListingMen's Nike Lebron XIV 14 Low Prism Pink Shoes Size 15,8000,Pre-Owned,1900,False,
2003-04 UD Phenomenal Beginning #7 LeBron James Rookie Cavs PSA 9 MT,2295,,599,False,
New ListingNike Zoom Soldier VII Lebron James 609679-005 Black Red Men’s Size 10 Shoes,3000,Pre-Owned,2220,False,
New ListingNike 407630-105 Lebron James Air Max Red & White Size 11.5,2000,Pre-Owned,1265,False,
New ListingLeBron James Adidas NBA Miami Heat Red Jersey T-Shirt Size M in Mens,1600,Pre-Owned,610,False,
New ListingNike LeBron 8 V/2 Low Solar Red Sneakers Size 15 Basketball Shoes 456849-600,8000,Pre-Owned,1485,False,
2021-22 Panini Chronicles Basketball You Pick #236-725 ***You Pick*** Free Ship,149,Pre-Owned,0,False,
New ListingNike Men's US 8 Lebron 17 XVII WTW GS Multicolor Media Sneakers CV8079 900,11249,Pre-Owned,2672,False,
Nike Lebron  19 XIX EP Bred James Black Red Men Basketball Shoes DC9340-001,11999,Brand New,0,False,
2003-04 UD Phenomenal Beginning #16 LeBron James Rookie Cavs PSA 9 MT,2295,,599,False,
New ListingReebok Swingman LEBRON JAMES Cavs 2005 NBA All Star Game Sewn Jersey Mens Medium,7999,Pre-Owned,1260,False,
2003-04 UD Phenomenal Beginning #11 LeBron James Rookie Cavaliers PSA 9 MT,2295,,599,False,
LeBron James #23 NBA Los Angeles Basketball Men's Jersey Purple M L XL,2469,Pre-Owned,3,False,
2021-22 Panini Optic Basketball Inserts *You Pick* Base & Parallels,149,Pre-Owned,0,False,
2013 Panini NBA Hoops #62 Lebron James LOS ANGELES LAKERS PSA 10 GEM MINT,2295,,400,False,
Funko Pop Trading Cards 02 NBA Lebron James LA Lakers Panini Prizm,4898,Brand New,0,True,
New ListingJR Smith Tattoo Tee Size XL Lebron James Cleveland Cavaliers NBA Finals 2016,4000,Brand New,610,False,
2021-22 Panini Photogenic Unforgettable LeBron James #3 PSA 9,29900,,999,False,
New Listing2020-21 Panini Prizm Lebron James Red White Blue Prizm #1 Kobe Tribute  PSA 9,12500,,395,False,
New Listing2020-21 Donruss Optic LeBron James PURPLE Holo Prizm Card #13 Lakers!,1295,Pre-Owned,3,False,
Shop on eBay,2000,Brand New,,False,
